#,Name,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Primary Type
1,Bulbasaur,318,45,49,49,65,65,45,Grass
2,Ivysaur,405,60,62,63,80,80,60,Grass
3,Venusaur,525,80,82,83,100,100,80,Grass
3,Venusaur  Mega Venusaur,625,80,100,123,122,120,80,Grass
4,Charmander,309,39,52,43,60,50,65,Fire
5,Charmeleon,405,58,64,58,80,65,80,Fire
6,Charizard,534,78,84,78,109,85,100,Fire
6,Charizard  Mega Charizard X,634,78,130,111,130,85,100,Fire
6,Charizard  Mega Charizard Y,634,78,104,78,159,115,100,Fire
7,Squirtle,314,44,48,65,50,64,43,Water
8,Wartortle,405,59,63,80,65,80,58,Water
9,Blastoise,530,79,83,100,85,105,78,Water
9,Blastoise  Mega Blastoise,630,79,103,120,135,115,78,Water
10,Caterpie,195,45,30,35,20,20,45,Bug
11,Metapod,205,50,20,55,25,25,30,Bug
12,Butterfree,395,60,45,50,90,80,70,Bug
13,Weedle,195,40,35,30,20,20,50,Bug
14,Kakuna,205,45,25,50,25,25,35,Bug
15,Beedrill,395,65,90,40,45,80,75,Bug
15,Beedrill  Mega Beedrill,495,65,150,40,15,80,145,Bug
16,Pidgey,251,40,45,40,35,35,56,Normal
17,Pidgeotto,349,63,60,55,50,50,71,Normal
18,Pidgeot,479,83,80,75,70,70,101,Normal
18,Pidgeot  Mega Pidgeot,579,83,80,80,135,80,121,Normal
19,Rattata,253,30,56,35,25,35,72,Normal
19,Rattata  Alolan Rattata,253,30,56,35,25,35,72,Dark
20,Raticate,413,55,81,60,50,70,97,Normal
20,Raticate  Alolan Raticate,413,75,71,70,40,80,77,Dark
21,Spearow,262,40,60,30,31,31,70,Normal
22,Fearow,442,65,90,65,61,61,100,Normal
23,Ekans,288,35,60,44,40,54,55,Poison
24,Arbok,448,60,95,69,65,79,80,Poison
25,Pikachu,320,35,55,40,50,50,90,Electric
25,Pikachu  Partner Pikachu,430,45,80,50,75,60,120,Electric
26,Raichu,485,60,90,55,90,80,110,Electric
26,Raichu  Alolan Raichu,485,60,85,50,95,85,110,Electric
27,Sandshrew,300,50,75,85,20,30,40,Ground
27,Sandshrew  Alolan Sandshrew,300,50,75,90,10,35,40,Ice
28,Sandslash,450,75,100,110,45,55,65,Ground
28,Sandslash  Alolan Sandslash,450,75,100,120,25,65,65,Ice
29,Nidoran♀,275,55,47,52,40,40,41,Poison
30,Nidorina,365,70,62,67,55,55,56,Poison
31,Nidoqueen,505,90,92,87,75,85,76,Poison
32,Nidoran♂,273,46,57,40,40,40,50,Poison
33,Nidorino,365,61,72,57,55,55,65,Poison
34,Nidoking,505,81,102,77,85,75,85,Poison
35,Clefairy,323,70,45,48,60,65,35,Fairy
36,Clefable,483,95,70,73,95,90,60,Fairy
37,Vulpix,299,38,41,40,50,65,65,Fire
37,Vulpix  Alolan Vulpix,299,38,41,40,50,65,65,Ice
38,Ninetales,505,73,76,75,81,100,100,Fire
38,Ninetales  Alolan Ninetales,505,73,67,75,81,100,109,Ice
39,Jigglypuff,270,115,45,20,45,25,20,Normal
40,Wigglytuff,435,140,70,45,85,50,45,Normal
41,Zubat,245,40,45,35,30,40,55,Poison
42,Golbat,455,75,80,70,65,75,90,Poison
43,Oddish,320,45,50,55,75,65,30,Grass
44,Gloom,395,60,65,70,85,75,40,Grass
45,Vileplume,490,75,80,85,110,90,50,Grass
46,Paras,285,35,70,55,45,55,25,Bug
47,Parasect,405,60,95,80,60,80,30,Bug
48,Venonat,305,60,55,50,40,55,45,Bug
49,Venomoth,450,70,65,60,90,75,90,Bug
50,Diglett,265,10,55,25,35,45,95,Ground
50,Diglett  Alolan Diglett,265,10,55,30,35,45,90,Ground
51,Dugtrio,425,35,100,50,50,70,120,Ground
51,Dugtrio  Alolan Dugtrio,425,35,100,60,50,70,110,Ground
52,Meowth,290,40,45,35,40,40,90,Normal
52,Meowth  Alolan Meowth,290,40,35,35,50,40,90,Dark
52,Meowth  Galarian Meowth,290,50,65,55,40,40,40,Steel
53,Persian,440,65,70,60,65,65,115,Normal
53,Persian  Alolan Persian,440,65,60,60,75,65,115,Dark
54,Psyduck,320,50,52,48,65,50,55,Water
55,Golduck,500,80,82,78,95,80,85,Water
56,Mankey,305,40,80,35,35,45,70,Fighting
57,Primeape,455,65,105,60,60,70,95,Fighting
58,Growlithe,350,55,70,45,70,50,60,Fire
58,Growlithe  Hisuian Growlithe,350,60,75,45,65,50,55,Fire
59,Arcanine,555,90,110,80,100,80,95,Fire
59,Arcanine  Hisuian Arcanine,555,95,115,80,95,80,90,Fire
