Coin,Price,1h,24h,7d,30d,24h Volume,Market Cap,FDV,Market Cap / FDV
BitcoinBTC,120512.0,0.4,1.5,4.9,2.9,54346483203.0,2398650621943,2398650621943,1.0
EthereumETH,4346.32,1.3,2.8,19.4,49.2,36287364448.0,524326176431,524326176431,1.0
XRPXRP,3.21,0.8,0.4,5.7,16.1,6648510551.0,190241185840,320720791470,0.59
TetherUSDT,0.9999,0.0,0.0,0.0,0.0,107128887153.0,164515160286,164515160286,1.0
BNBBNB,808.9,0.9,0.9,6.4,18.7,1622326073.0,112572455702,112572455702,1.0
SolanaSOL,180.1,0.5,-1.0,8.8,13.8,5555508781.0,97430353535,109645656914,0.89
USDCUSDC,0.9998,0.0,0.0,0.0,0.0,16934078896.0,65041132883,65204592964,1.0
Lido Staked EtherSTETH,4334.34,1.1,2.7,19.0,48.8,118572234.0,38439458782,38439489053,1.0
DogecoinDOGE,0.2325,1.4,-0.5,14.0,20.4,2339006709.0,34971593424,34984573532,1.0
TRONTRX,0.345,0.6,1.2,3.8,15.8,815364149.0,32667004338,32666996820,1.0
CardanoADA,0.797,1.0,-0.9,6.9,15.2,1506411673.0,28864687102,35894258211,0.8
Wrapped stETHWSTETH,5259.31,1.1,2.9,19.4,49.4,117266918.0,16974116014,16972891678,1.0
Wrapped BitcoinWBTC,120476.0,0.5,1.6,5.1,3.1,288757936.0,15310678856,15310678856,1.0
HyperliquidHYPE,44.8,1.2,-0.2,17.2,1.3,261998513.0,14957212160,44805144192,0.33
ChainlinkLINK,21.98,1.0,-1.9,30.1,48.6,1245355964.0,14888255110,21955840966,0.68
StellarXLM,0.4445,0.8,0.2,8.3,18.3,476084721.0,13903133379,22222476164,0.63
Wrapped Beacon ETHWBETH,4682.46,1.5,3.1,19.6,50.0,16512721.0,13879531728,13879531728,1.0
SuiSUI,3.75,1.2,-3.3,7.2,13.0,1518688231.0,13171397258,37504785012,0.35
Wrapped eETHWEETH,4658.77,1.3,2.7,19.2,49.2,16611725.0,12155818835,12155840814,1.0
Bitcoin CashBCH,587.77,0.2,2.6,2.1,16.4,399453426.0,11704791010,11704791010,1.0
HederaHBAR,0.2543,0.8,-2.0,1.8,32.5,294917784.0,10783630672,12718742611,0.85
WETHWETH,4341.96,1.2,2.7,19.1,49.0,321350528.0,10630714652,10628705417,1.0
Ethena USDeUSDE,1.0,0.0,0.0,0.0,0.1,393226527.0,10345238396,10346100057,1.0
AvalancheAVAX,23.85,1.3,-0.2,6.5,17.5,569341066.0,10063956480,10917221461,0.92
LitecoinLTC,125.35,1.3,0.5,5.7,36.3,1211295579.0,9545932977,9545936110,1.0
ToncoinTON,3.39,0.9,1.5,0.8,16.4,239968586.0,8704416223,17427308725,0.5
LEO TokenLEO,9.0,0.0,-0.4,0.2,0.7,3294691.0,8304797020,8864399682,0.94
USDSUSDS,0.9992,0.0,0.0,0.0,0.0,16751018.0,7890975161,7917471402,1.0
Shiba InuSHIB,1.334e-05,1.5,-1.4,8.3,3.5,251211466.0,7858338086,7861736924,1.0
UniswapUNI,11.44,5.8,2.9,14.5,39.1,767514711.0,6860004812,11424143515,0.6
Binance Bridged USDT (BNB Smart Chain)BSC-USD,1.0,0.3,0.3,0.3,0.3,2271818226.0,6789988697,6789988697,1.0
WhiteBIT CoinWBT,45.45,0.5,0.9,5.5,2.0,83327839.0,6550282095,14679548742,0.45
Coinbase Wrapped BTCCBBTC,120532.0,0.4,1.5,5.0,3.1,587641038.0,6471298826,6474496031,1.0
PolkadotDOT,3.98,1.2,-2.0,7.9,4.2,286764167.0,6055030848,6055030848,1.0
CronosCRO,0.1694,0.0,4.6,22.2,69.5,66453964.0,5474398426,16553885810,0.33
