Symbol,Name,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio(TTM),52 WkChange %,Market Cap Numeric (B)
TSLA,"Tesla, Inc.",307.13,-2.13,-0.69%,35.901,107.104M,990.632B,183.91,54.14%,990.632
HOOD,"Robinhood Markets, Inc.",103.64,-2.73,-2.57%,21.247,44.327M,92.102B,52.61,518.07%,92.102
AGNC,AGNC Investment Corp.,9.6,-0.03,-0.36%,8.507,24.774M,9.995B,31.98,-3.60%,9.995
INTC,Intel Corporation,20.31,0.81,4.16%,69.165,81.756M,88.905B,--,-1.66%,88.905
BP,BP p.l.c.,33.17,0.67,2.08%,9.91,9.794M,85.57B,--,-1.37%,85.57
AVTR,"Avantor, Inc.",11.81,0.51,4.56%,7.61,13.086M,8.055B,11.7,-55.07%,8.055
PBR,Petr?leo Brasileiro S.A. - Petrobras,12.78,0.02,0.16%,10.734,22.258M,78.311B,9.54,-7.27%,78.311
COIN,"Coinbase Global, Inc.",302.1,-16.08,-5.05%,9.277,15.191M,77.62B,29.13,63.86%,77.62
WMB,"The Williams Companies, Inc.",57.73,-2.53,-4.20%,7.399,7.862M,70.489B,31.04,40.70%,70.489
FOUR,"Shift4 Payments, Inc.",85.69,-16.51,-16.16%,7.939,1.314M,7.5B,29.35,63.49%,7.5
AAL,American Airlines Group Inc.,11.51,0.24,2.09%,42.325,61.301M,7.591B,13.7,21.05%,7.591
LCID,"Lucid Group, Inc.",2.42,0.01,0.41%,41.529,151.401M,7.435B,--,-22.01%,7.435
INFY,Infosys Limited,16.33,-0.15,-0.88%,9.942,12.409M,69.722B,21.21,-21.49%,69.722
BCS,Barclays PLC,19.38,0.06,0.28%,12.284,15.894M,68.292B,9.01,80.22%,68.292
LYG,Lloyds Banking Group plc,4.33,-0.08,-1.81%,7.78,17.212M,64.621B,12.37,58.06%,64.621
ITUB,Ita? Unibanco Holding S.A.,6.47,0.04,0.55%,25.702,30.444M,63.95B,9.11,18.87%,63.95
KMI,"Kinder Morgan, Inc.",27.69,-0.59,-2.09%,8.6,13.861M,61.529B,22.7,36.88%,61.529
ET,Energy Transfer LP,17.59,-0.2,-1.12%,10.691,13.164M,60.365B,13.33,11.26%,60.365
KD,"Kyndryl Holdings, Inc.",29.33,-7.37,-20.09%,10.561,1.813M,6.788B,27.93,64.80%,6.788
PSLV,Sprott Physical Silver Trust,12.84,0.15,1.18%,15.907,29.977M,6.765B,4.22,36.75%,6.765
LYFT,"Lyft, Inc.",14.44,0.36,2.52%,12.745,17.032M,6.072B,96.23,28.35%,6.072
SMR,NuScale Power Corporation,45.17,1.79,4.14%,11.71,14.49M,6.026B,--,433.58%,6.026
NU,Nu Holdings Ltd.,12.12,0.09,0.71%,17.123,64.725M,58.449B,27.53,8.77%,58.449
CMG,"Chipotle Mexican Grill, Inc.",42.72,-0.16,-0.36%,7.608,14.995M,57.289B,37.81,-20.71%,57.289
MARA,"MARA Holdings, Inc.",15.48,-0.56,-3.46%,18.904,48.206M,5.737B,8.33,-7.01%,5.737
QBTS,D-Wave Quantum Inc.,17.97,0.79,4.60%,42.201,70.662M,5.615B,--,1874.71%,5.615
ACHR,Archer Aviation Inc.,10.21,-0.22,-2.16%,17.497,39.907M,5.603B,--,166.07%,5.603
RGTI,"Rigetti Computing, Inc.",16.19,0.43,2.73%,31.121,54.004M,5.225B,--,1762.88%,5.225
XOM,Exxon Mobil Corporation,107.18,-0.19,-0.18%,7.465,16.755M,456.935B,15.22,-5.95%,456.935
F,Ford Motor Company,11.06,0.11,0.96%,36.132,88.993M,43.997B,14.17,11.96%,43.997
VALE,Vale S.A.,9.86,0.01,0.15%,16.866,42.225M,42.112B,8.09,-2.48%,42.112
PLTR,Palantir Technologies Inc.,171.27,10.61,6.60%,99.763,78.406M,404.182B,778.5,504.21%,404.182
BTG,B2Gold Corp.,3.681,0.111,3.10%,25.434,44.953M,4.864B,--,26.60%,4.864
QS,QuantumScape Corporation,8.58,0.28,3.37%,38.909,40.321M,4.856B,--,41.40%,4.856
CLF,Cleveland-Cliffs Inc.,9.65,-0.06,-0.57%,9.474,34.474M,4.776B,--,-27.32%,4.776
BRBR,"BellRing Brands, Inc.",35.57,-18.07,-33.69%,9.034,2.58M,4.517B,16.62,1.73%,4.517
SOUN,"SoundHound AI, Inc.",11.03,0.39,3.67%,21.51,38.152M,4.431B,--,138.57%,4.431
NVDA,NVIDIA Corporation,177.58,-2.42,-1.34%,99.367,193.026M,4.331T,57.29,72.66%,4331
CORZ,"Core Scientific, Inc.",13.83,0.18,1.32%,7.463,17.722M,4.2B,--,40.58%,4.2
IAG,IAMGOLD Corporation,7.45,0.2,2.83%,9.74,15.385M,4.287B,5.11,92.82%,4.287
UEC,Uranium Energy Corp.,9.41,0.2,2.17%,9.052,14.513M,4.181B,--,107.90%,4.181
RIOT,"Riot Platforms, Inc.",10.96,-0.46,-4.07%,15.038,39.549M,4.049B,--,35.79%,4.049
AG,First Majestic Silver Corp.,8.35,0.16,1.95%,9.359,23.057M,4.046B,--,64.13%,4.046
RKT,"Rocket Companies, Inc.",17.59,0.72,4.24%,17.314,17.054M,37.138B,--,-7.86%,37.138
SMCI,"Super Micro Computer, Inc.",57.93,-0.3,-0.52%,21.618,44.899M,34.574B,31.48,-5.61%,34.574
ABEV,Ambev S.A.,2.205,-0.005,-0.23%,9.393,29.947M,34.381B,12.97,3.76%,34.381
BAC,Bank of America Corporation,45.48,-0.37,-0.81%,18.257,40.006M,336.868B,13.34,24.19%,336.868
PCG,PG&E Corporation,15.18,0.14,0.90%,20.866,25.44M,33.352B,14.05,-15.55%,33.352
WBD,"Warner Bros. Discovery, Inc.",12.65,-0.15,-1.21%,26.783,59.395M,31.285B,--,69.09%,31.285
MSFT,Microsoft Corporation,531.82,-3.82,-0.71%,9.219,19.67M,3.953T,38.93,34.04%,3953
HL,Hecla Mining Company,6.09,0.12,1.92%,12.381,20.85M,3.849B,50.71,23.09%,3.849
LUMN,"Lumen Technologies, Inc.",3.705,-0.045,-1.20%,8.239,11.36M,3.802B,--,-25.00%,3.802
APLD,Applied Digital Corporation,14.23,0.28,2.01%,25.63,51.523M,3.721B,--,231.35%,3.721
NGD,New Gold Inc.,4.52,0.11,2.50%,9.717,21.724M,3.578B,22.6,105.12%,3.578
OSCR,"Oscar Health, Inc.",13.73,-0.11,-0.78%,8.507,24.367M,3.497B,34.33,-19.67%,3.497
LMND,"Lemonade, Inc.",46.94,9.94,26.92%,10.431,2.384M,3.439B,--,138.25%,3.439
COMM,"CommScope Holding Company, Inc.",14.72,0.2,1.41%,14.037,6.526M,3.26B,54.5,556.56%,3.26
AAPL,Apple Inc.,204.1,0.75,0.37%,23.022,53.68M,3.029T,30.97,-1.87%,3029
AMD,"Advanced Micro Devices, Inc.",175.71,-1.07,-0.61%,42.599,51.6M,284.896B,129.2,35.80%,284.896
BBD,Banco Bradesco S.A.,2.845,0.0385,1.37%,19.382,41.594M,27.659B,8.37,12.40%,27.659
WFC,Wells Fargo & Company,77.69,0.11,0.14%,7.878,17.021M,250.191B,13.35,48.17%,250.191
SOFI,"SoFi Technologies, Inc.",21.39,-0.42,-1.93%,32.852,71.71M,25.586B,42.78,239.19%,25.586
HBAN,Huntington Bancshares Incorporated,16.14,-0.13,-0.83%,16.435,30.506M,23.652B,12.04,21.33%,23.652
UNH,UnitedHealth Group Incorporated,250.22,9.24,3.83%,15.419,20.256M,226.985B,10.83,-57.60%,226.985
KGC,Kinross Gold Corporation,18.09,0.83,4.79%,17.674,20.053M,22.044B,14.59,100.93%,22.044
AMCR,Amcor plc,9.43,0.03,0.27%,7.772,26.051M,21.596B,16.83,-10.39%,21.596
RKLB,Rocket Lab Corporation,43.84,-0.7,-1.57%,7.261,22.862M,21.014B,--,844.64%,21.014
NVO,Novo Nordisk A/S,47.33,-1.48,-3.03%,11.199,13.117M,209.375B,12.97,-62.49%,209.375
GRAB,Grab Holdings Limited,4.96,0,0.00%,16.546,37.633M,20.217B,248,56.47%,20.217
CLSK,"CleanSpark, Inc.",10.67,0.05,0.52%,8.271,26.94M,2.999B,--,-13.38%,2.999
SAND,Sandstorm Gold Ltd.,9.91,0.26,2.69%,8.517,6.646M,2.905B,99.1,86.29%,2.905
PTON,"Peloton Interactive, Inc.",7.11,0.15,2.23%,8.729,14.179M,2.836B,--,126.71%,2.836
RIG,Transocean Ltd.,2.815,0.005,0.18%,16.767,38.392M,2.486B,--,-44.36%,2.486
RXRX,"Recursion Pharmaceuticals, Inc.",5.51,-0.29,-5.00%,27.04,28.337M,2.389B,--,-13.56%,2.389
GOOG,Alphabet Inc.,195.93,0.18,0.09%,9.815,28.417M,2.365T,20.89,21.93%,2365
GOOGL,Alphabet Inc.,195.15,0.11,0.06%,16.023,42.566M,2.364T,20.8,23.22%,2364
AMZN,"Amazon.com, Inc.",214.64,2.99,1.41%,30.417,43.17M,2.289T,32.72,30.70%,2289
ALIT,"Alight, Inc.",4.1725,-0.9575,-18.66%,15.957,7.031M,2.288B,--,-21.32%,2.288
AEO,"American Eagle Outfitters, Inc.",12.31,-0.97,-7.34%,22.856,10.472M,2.132B,12.56,-34.77%,2.132
T,AT&T Inc.,27.91,0.23,0.81%,10.047,32.756M,199.532B,15.95,44.24%,199.532
ON,ON Semiconductor Corporation,47.85,-0.12,-0.24%,7.166,9.964M,19.998B,45.58,-29.98%,19.998
KEY,KeyCorp,17.75,-0.08,-0.48%,21.049,19.29M,19.74B,--,25.04%,19.74
UBER,"Uber Technologies, Inc.",89.9,1.47,1.66%,12.257,21.078M,187.996B,15.74,36.32%,187.996
JOBY,"Joby Aviation, Inc.",18.97,-1.42,-6.96%,32.362,31.131M,15.963B,--,296.69%,15.963
DOW,Dow Inc.,22.39,0.8,3.71%,9.034,12.984M,15.871B,--,-58.86%,15.871
SNAP,Snap Inc.,9.31,-0.16,-1.64%,23.17,34.496M,15.671B,--,9.61%,15.671
RIVN,"Rivian Automotive, Inc.",12.25,-0.16,-1.29%,30.886,32.792M,14.675B,--,-16.15%,14.675
U,Unity Software Inc.,34.21,0.2,0.59%,8.972,14.111M,14.221B,--,138.67%,14.221
PFE,Pfizer Inc.,24.53,1,4.27%,68.473,41.532M,139.491B,17.78,-19.75%,139.491
MU,"Micron Technology, Inc.",108.39,0.62,0.58%,9.236,21.92M,121.308B,19.53,21.09%,121.308
CMCSA,Comcast Corporation,32.67,0.11,0.35%,9.288,20.588M,120.643B,5.42,-16.34%,120.643
HIMS,"Hims & Hers Health, Inc.",57.85,-5.5,-8.69%,72.241,45.439M,12.948B,85.07,275.30%,12.948
CNC,Centene Corporation,26.1,-0.1,-0.40%,10.199,12.802M,12.821B,6.34,-65.26%,12.821
OKLO,Oklo Inc.,82.89,6.48,8.48%,17.763,21.991M,12.216B,--,869.67%,12.216
IONQ,"IonQ, Inc.",41.63,1.77,4.44%,11.056,23.199M,12.126B,--,452.84%,12.126
AUR,"Aurora Innovation, Inc.",6.05,0.09,1.51%,11.003,25.125M,11.164B,--,69.32%,11.164
NIO,NIO Inc.,4.4699,-0.1301,-2.83%,37.528,47.425M,10.621B,--,22.02%,10.621
META,"Meta Platforms, Inc.",767.69,-8.68,-1.12%,7.405,12.666M,1.929T,27.86,57.13%,1929
AVGO,Broadcom Inc.,293.91,-3.81,-1.28%,8.03,20.995M,1.382T,107.27,106.86%,1382
TSM,Taiwan Semiconductor Manufacturing Company Limited,233,-6,-2.51%,8.121,11.641M,1.208T,27.94,53.81%,1208
